joke,how,why
"小明要带小王去嫖妓。行前小明告诉小王该场所美女如云，服务一流，什么要求小姐均能接受。小王听了之后就兴高采烈随同小明前往寻欢。抵达之后，各自择定对象就分开办事。一个小时之后，大家又在大厅碰面。小明就问小王：「滋味如何？」小王垂头丧气说：「不好玩，因为我要求的方式她不能接受。」小明：「怎么可能，你要求什么方式？」小王：「免费服务。」
",桥界推论,意想不到的答案
"姑娘，您戴的是假发吗？ 是的。可是商店的人对我说这准也看不出来。 我也许看不出来，可是您忘了从假发上把商标取下来
",禁忌\秘密揭露,意外出糗
"老师课上提问，问到一男孩，“你长大后要干什么”小男孩说：“我以后要当女浴室的一名搓澡工。”正当老师惊叹之余，男孩接着说：“这样我妈妈就不用那么辛苦了！”
",桥界推论,意想不到的答案
话说有一女子问媒婆：我的相亲对象是什么人啊？媒婆添油加醋地形容：对方人称外号『金城武。』！相亲女立刻挂了电话就去相亲。结果回来后大骂媒婆：又矮又丑，这个叫金城武？媒婆回答：我还没有把话讲完你就跑来！人家是说外号『京城武大郎』,⽂字游戏,搞错重点或是误会情节
"有一个养猪人喂猪吃剩饭剩菜，一天环保局的人来了问他：「给猪吃什么？」
养猪人说；「剩饭菜ㄚ。」结果他被开了「虐待动物」罚单。
之后养猪人就喂猪吃山珍海味，又有一个环保局的人来了，看到猪吃美食，就大骂养猪人：「非洲闹肌荒，居然给猪吃这么好」，又被开「浪费食物」罚单。最后养猪人想了一个办法，又一个环保局的人来了问：「猪吃什么？」养猪人说：「吃这也不是，吃那也不是，我就给牠500元让牠自己去吃ㄚ」",无逻辑和矛盾,意想不到的答案
"巴西队这次荣获世界杯冠军，五岁的孩子不懂足球也跟着看，因为巴西队大打的比赛最多，解说员也总是解说巴西队的比赛实况，大人们看着带劲，孩子却不怎么看得懂，总是听解说员叫巴西队员的名字，实在不理解了就问大人，巴西人都长几个耳朵？ 大人不解小孩子为什么问这样的问题，孩子天真地说：你没有听解说员老叫巴西球员的名字嘛，罗纳耳多，小罗纳耳多，黎瓦耳多，……。 大人笑
",⽂字游戏,搞错重点或是误会情节
做警察的小明与朋友一起去打猎，忽然，他看见了一只梅花鹿，于是，悄悄地绕到它的身后，举起枪，大声喊道：「不许动，举起手来，不然我就开枪了！」,职业病描述,荒诞或是愚蠢的行径\话语\情况
"小丰与小玉夫妻俩今天大吵一顿。 小玉一把鼻涕一把眼泪地说：“早知道就听我妈妈的，不要嫁给你！” 小丰愣了一下，缓缓地问：“你是说****曾阻止你嫁给我？” 小玉点了点头，小丰用力捶了一下桌子说：“啊！这些年来我真是错怪她了！
",桥界推论,另有含义
"一个新厨役为了送早餐到女主人的床上，在女主人一丝不挂地坐在梳妆台前时，就进了她的卧房。这当然引起了一阵怒骂和叫喊。以后决不可这样冒失！她警告说：进来前一定要叩门。 第二天，这仆役又送早餐到女主人的床上，这次她穿上了一件睡衣，但仆役走进时仍未敲门。我不是告诉过你先敲门的吗？这女主人责问道：你可能以为我没有穿衣服又闯进来的。不！这次我弄明白了。仆役答道：我在钥匙孔里看到太太穿上睡衣后才进来的
",禁忌\秘密揭露,荒诞或是愚蠢的行径\话语\情况
湖北有一洗碗阿姨，她嫌洗碗阿姨不好听，给自己取了个牛气的名字叫：「瓷洗太后」隔壁补车胎的师傅大受启发，也任性了一把，给自己取了个具有国际范的名字：「拿破轮」电焊工听说了受到启发，开了个电焊铺，取名：「焊武帝」这天他去隔壁的糖果店炫耀，糖果店老板拉著他看了看自己的店名：「糖太宗」，电焊工沉默了……不远处切糕店的老板跑出来指了指自己的店名：「汉糕祖」，二人一起沉默……这时，一个掏粪工骑著拉粪车从两人面前经过，拉粪车上赫然写著三个大字：「擒屎皇」……集体沉默……偏偏消息传到了湖南境内，有个编竹席的工匠，也让整了个牌子挂在竹器店外：「毛竹席」这下邻家慌了，他也开了一家竹席店，心想要是不整点名堂出来，这生意不都给隔壁抢去了，于是连夜请高手帮忙，第二天人们看到这家竹席店也挂一牌子：「席大大」,⽂字游戏,意想不到的答案
