Joke,How_ann1,Why_ann1,How_ann2,Why_ann2,How_main,Why_main
"小明要帶小王去嫖妓。行前小明告訴小王該場所美女如雲，服務一流，什麼要求小姐均能接受。小王聽了之後就興高采烈隨同小明前往尋歡。抵達之後，各自擇定對象就分開辦事。一個小時之後，大家又在大廳碰面。小明就問小王：「滋味如何？」小王垂頭喪氣說：「不好玩，因爲我要求的方式她不能接受。」小明：「怎麼可能，你要求什麼方式？」小王：「免費服務。」
",橋界推論,搞錯重點或是誤會情節,橋界推論,荒誕或是愚蠢的行徑\話語\情況,橋界推論,意想不到的答案
"姑娘，您戴的是假髮嗎？ 是的。可是商店的人對我說這準也看不出來。 我也許看不出來，可是您忘了從假髮上把商標取下來
",諷刺,意外出糗,諷刺,意想不到的答案,禁忌\秘密揭露,意外出糗
"老師課上提問，問到一男孩，“你長大後要幹什麼”小男孩說：“我以後要當女浴室的一名搓澡工。”正當老師驚歎之餘，男孩接着說：“這樣我媽媽就不用那麼辛苦了！”
",諷刺,意想不到的答案,橋界推論,意想不到的答案,橋界推論,意想不到的答案
話說有一女子問媒婆：我的相親對象是什麼人啊？媒婆添油加醋地形容：對方人稱外號『金城武。』！相親女立刻掛了電話就去相親。結果回來後大罵媒婆：又矮又醜，這個叫金城武？媒婆回答：我還沒有把話講完你就跑來！人家是說外號『京城武大郎』,⽂字遊戲,搞錯重點或是誤會情節,諷刺,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節
"有一個養豬人餵豬喫剩飯剩菜，一天環保局的人來了問他：「給豬喫什麼？」
養豬人說；「剩飯菜ㄚ。」結果他被開了「虐待動物」罰單。
之後養豬人就餵豬喫山珍海味，又有一個環保局的人來了，看到豬喫美食，就大罵養豬人：「非洲鬧肌荒，居然給豬喫這麼好」，又被開「浪費食物」罰單。最後養豬人想了一個辦法，又一個環保局的人來了問：「豬喫什麼？」養豬人說：「喫這也不是，喫那也不是，我就給牠500元讓牠自己去喫ㄚ」",諷刺,荒誕或是愚蠢的行徑\話語\情況,無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況,無邏輯和矛盾,意想不到的答案
"巴西隊這次榮獲世界盃冠軍，五歲的孩子不懂足球也跟着看，因爲巴西隊大打的比賽最多，解說員也總是解說巴西隊的比賽實況，大人們看着帶勁，孩子卻不怎麼看得懂，總是聽解說員叫巴西隊員的名字，實在不理解了就問大人，巴西人都長几個耳朵？ 大人不解小孩子爲什麼問這樣的問題，孩子天真地說：你沒有聽解說員老叫巴西球員的名字嘛，羅納耳多，小羅納耳多，黎瓦耳多，……。 大人笑
",⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節
做警察的小明與朋友一起去打獵，忽然，他看見了一隻梅花鹿，於是，悄悄地繞到它的身後，舉起槍，大聲喊道：「不許動，舉起手來，不然我就開槍了！」,職業病描述,荒誕或是愚蠢的行徑\話語\情況,職業病描述,荒誕或是愚蠢的行徑\話語\情況,職業病描述,荒誕或是愚蠢的行徑\話語\情況
"小豐與小玉夫妻倆今天大吵一頓。 小玉一把鼻涕一把眼淚地說：“早知道就聽我媽媽的，不要嫁給你！” 小豐愣了一下，緩緩地問：“你是說****曾阻止你嫁給我？” 小玉點了點頭，小豐用力捶了一下桌子說：“啊！這些年來我真是錯怪她了！
",橋界推論,意想不到的答案,橋界推論,意想不到的答案,橋界推論,另有含義
"一個新廚役爲了送早餐到女主人的牀上，在女主人一絲不掛地坐在梳妝檯前時，就進了她的臥房。這當然引起了一陣怒罵和叫喊。以後決不可這樣冒失！她警告說：進來前一定要叩門。 第二天，這僕役又送早餐到女主人的牀上，這次她穿上了一件睡衣，但僕役走進時仍未敲門。我不是告訴過你先敲門的嗎？這女主人責問道：你可能以爲我沒有穿衣服又闖進來的。不！這次我弄明白了。僕役答道：我在鑰匙孔裏看到太太穿上睡衣後才進來的
",禁忌\秘密揭露,意想不到的答案,橋界推論,搞錯重點或是誤會情節,禁忌\秘密揭露,荒誕或是愚蠢的行徑\話語\情況
湖北有一洗碗阿姨，她嫌洗碗阿姨不好聽，給自己取了個牛氣的名字叫：「瓷洗太后」隔壁補車胎的師傅大受啓發，也任性了一把，給自己取了個具有國際範的名字：「拿破輪」電焊工聽說了受到啓發，開了個電焊鋪，取名：「焊武帝」這天他去隔壁的糖果店炫耀，糖果店老闆拉著他看了看自己的店名：「糖太宗」，電焊工沉默了……不遠處切糕店的老闆跑出來指了指自己的店名：「漢糕祖」，二人一起沉默……這時，一個掏糞工騎著拉糞車從兩人面前經過，拉糞車上赫然寫著三個大字：「擒屎皇」……集體沉默……偏偏消息傳到了湖南境內，有個編竹蓆的工匠，也讓整了個牌子掛在竹器店外：「毛竹蓆」這下鄰家慌了，他也開了一家竹蓆店，心想要是不整點名堂出來，這生意不都給隔壁搶去了，於是連夜請高手幫忙，第二天人們看到這家竹蓆店也掛一牌子：「席大大」,⽂字遊戲,意想不到的答案,⽂字遊戲,另有含義,⽂字遊戲,意想不到的答案
有位奶奶發Line給乖孫子：「你慘了啦，趕快去躲起來，你的老師因爲你翹課，現在來我們家找你了！」乖孫回傳：「奶奶，要趕快躲起來的是妳！因爲我今天打電話向老師請假，說奶奶過逝了，所以今天不去上學！」結果奶奶已經跟老師開了門，老師很驚訝的說：「您老...........」奶奶也很驚訝的跟老師說：「你怎麼看得到我，今天頭七，我回來看看，不好意思，讓老師您受驚了！」老師口吐白沫，頓時暈倒。,誇張,荒誕或是愚蠢的行徑\話語\情況,禁忌\秘密揭露,荒誕或是愚蠢的行徑\話語\情況,無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況
"今天發現老公給女兒買了一件可愛的小衣服，上面寫着：避孕失敗！
",橋界推論,意想不到的答案,橋界推論,另有含義,橋界推論,另有含義
"教授和農民打賭。 教授說：我出一題，你不知，給我五元； 你出一題，我不知，給你五百，如何？ 農民同意。 教授：月亮距地球多遠？ 農民遞給教授五元錢。 農民問：上山三條腿，下山四條腿，是什麼動物？ 教授苦思無解，無奈輸五百。 農民接過錢，教授追問：是什麼動物？ 農民遞給教授五元錢。
",橋界推論,意想不到的答案,橋界推論,意想不到的答案,橋界推論,另有含義
"女：“開門見山吧，我喜歡的男人是擁有高學歷和廣闊夢想的人。” 男：“我很符合啊，你說的不就是我麼？” 女：“是麼，那你的夢想是什麼？” 男：“我的夢想從兒時到現在一直沒變過：“讀萬卷書，行萬里路。” 第一條我上學的時候已經完成了，第二條正是我如今從事的工作。” 女：“真不錯，你是從事什麼工作的？” 男：“我是送快遞的。
",橋界推論,意想不到的答案,典故改寫,意想不到的答案,橋界推論,意想不到的答案
"新經理上任，祕書拿着本地的教育經費報表請領導簽字，領導一看：“爲什麼要這麼多教育經費，教育真有那麼重要嗎？”祕書：“領導，教育這件事重不重要，我舉個例子您就知道了”領導：“什麼例子？”祕書：“李逵沒受過教育，聽說領導宋江強佔民女，他就要砍了領導。林沖受過教育，媳婦被領導的兒子佔便宜，自己被誣陷，連個屁都不敢放！”領導說：教育的確很重要，你這個費用我給你批了..
",諷刺,另有含義,典故改寫,不懂裝懂,橋界推論,另有含義
有一個印假鈔的壞人被逮捕了警察說：你爲何要印假鈔！！！壞人說：因爲我不會印真鈔！！！,橋界推論,搞錯重點或是誤會情節,橋界推論,意想不到的答案,禁忌\秘密揭露,搞錯重點或是誤會情節
"女：「我覺得你的鞋蠻好看的欸～」男：「是嗎？但我覺得再好看也沒有你好看！」
",其他,另有含義,其他,荒誕或是愚蠢的行徑\話語\情況,⽂字遊戲,意想不到的答案
"據說，在白案嫌犯陳進興挾持南非武官一家大小當天，爲了緩和現場緊繃的氣氛，警方決定讓陳嫌與記者進行訪問.........記者：「如果讓你從頭再來一次，你想做什麼呢？」陳：「我想出國啦，臺灣的治安太壞了！」記者：「............」
",無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況,橋界推論,另有含義,橋界推論,另有含義
考試open book，教授說可以帶任何你們帶得動的東西。考試當天，小軒扛了三大箱書，小龍帶著手提電腦，正當得意時，只見小明....揹著一位教授進教室。,誇張,荒誕或是愚蠢的行徑\話語\情況,橋界推論,荒誕或是愚蠢的行徑\話語\情況,類比,意想不到的答案
"有個二貨，踩釘子上了，到醫院打破傷風疫苗，第二天又踩釘子上了，問大夫還用打疫苗不，大夫回頭瞅瞅他說：“拉倒吧，有那閒錢看看眼睛吧。”
",諷刺,另有含義,諷刺,意想不到的答案,橋界推論,另有含義
"女兒（一年級）很愛勞動，已經學會作簡單家務。一日回到家中，見她一人正在做湯圓，盤中已經高高壘起二十餘隻。正欲表揚鼓勵兩句，她一不留神，手中湯圓滾落地上。她立即鑽到桌下，揀起後放在盤中。 我大驚：掉在地上的就不要了！ 她神色自若地說：不要緊，每個都掉在地上過的
",橋界推論,搞錯重點或是誤會情節,誇張,荒誕或是愚蠢的行徑\話語\情況,禁忌\秘密揭露,意想不到的答案
"一男子在一次相親會上看上了一個漂亮的女人， 於是就主動搭訕說：感覺我們有某種緣分。 並說自己有個富豪的爸爸。女子跟他聊天，尋問了他的家庭情況後， 就再也沒有聯繫。後來，所謂的緣分不幸被他自己言中了—— 這位漂亮的女人成了他的後媽…
",橋界推論,意想不到的答案,橋界推論,荒誕或是愚蠢的行徑\話語\情況,橋界推論,意想不到的答案
"男孩向他母親哭訴：“我們班上所有同學都嘲笑我頭大，說我是大頭鬼。” 母親安慰他：“不要聽他們胡說，你的頭其實很好看。好了，不要哭了，去給我買五公斤大米回來吧。” 男孩：“購物袋在哪裏？” 母親：“要什麼購物袋，就用你的帽子好了。
",諷刺,另有含義,諷刺,另有含義,諷刺,另有含義
"女人常發牢騷，說男人沒本事，迎娶她時家裏啥都沒有。 她指着衣櫃、彩電、牀、被子說：“這些東西都是我從孃家帶來的，你有啥?” 男人一笑，指着她懷裏的孩子說：“你敢說孩子也是你從孃家帶來的?
",其他,意想不到的答案,橋界推論,另有含義,無邏輯和矛盾,意想不到的答案
"一瞎子，一矮子，一駝子，喫酒爭座，各曰：說得大話的便做頭一位。 瞎子曰：我目中無人，該我坐。矮子曰：我不比常（音同長）人，該我坐。 駝子曰：不要爭，算來你們都是直背（音同侄輩），自然該讓我坐
",⽂字遊戲,另有含義,⽂字遊戲,荒誕或是愚蠢的行徑\話語\情況,⽂字遊戲,意想不到的答案
"一個人穿了龜皮做的新鞋上班。同事問他喜不喜歡那雙鞋，他若有所思地答：「我從沒穿過這麼舒服的鞋，不過有個問題，我走了一個半小時才走出那家商店。」
",橋界推論,意想不到的答案,無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況,橋界推論,另有含義
"一位醫生不學無術，病家花費了不少醫藥費，總是治不好病，主人就叫僕人去臭罵一通，出出怨氣。 僕人去了半天才回來，主人問罵過了沒有，僕人說：沒有。問：爲啥不罵？答：我走到醫家那裏看到打他罵他的人簇擁了一大堆，我擠不上去，沒罵成哩
",橋界推論,另有含義,橋界推論,另有含義,橋界推論,另有含義
"小明：「爸爸，爲什麼你有那麼多白頭髮？」爸爸：「因爲你不乖，所以爸爸纔會有那麼多白頭髮啊。」小明：……（疑惑中）小明：「那爲什麼爺爺全部都是白頭髮？」爸爸：！＠＃＄％︿＆＊
",諷刺,另有含義,橋界推論,另有含義,諷刺,另有含義
"領兒子去買東西時碰見一個賣櫻桃的熟人，熟人讓小孩抓一把櫻桃，小孩猶豫了一下，沒動手。 “你不愛喫櫻桃嗎？”老熟人問。 “愛喫。”於是，老熟人抓了一把櫻桃塞進小孩兒的衣兜裏。 回家路上，爸爸問兒子：“剛纔叔叔讓你拿櫻桃時，你爲什麼不拿？” “因爲，他的手比我的手大。
",橋界推論,意想不到的答案,橋界推論,意想不到的答案,禁忌\秘密揭露,意想不到的答案
"兒子：爸爸，晚上我們去看馬戲吧！ 爸爸：兒子，我沒時間。 兒子：聽小朋友說，馬戲團裏有一位不穿衣服的阿姨在老虎身上跳舞呢。 爸爸：那好吧，咱們一起去，我很久沒有看老虎了
",禁忌\秘密揭露,另有含義,橋界推論,另有含義,橋界推論,另有含義
"老師：您的兒子在學校談戀愛了。家長：我知道！老師：您不反對？家長：反對什麼，在學校有他女朋友管著他，不讓他抽菸喝酒，生病的時候照顧他，天冷了提醒他多穿衣服，這樣很好阿~老師：那就是同意我們在一起了嗎？
",禁忌\秘密揭露,意想不到的答案,橋界推論,另有含義,禁忌\秘密揭露,意想不到的答案
"某小學生學習小提琴，這天來到班上，打開琴盒，赫然發現裏面放着一把衝鋒槍。 於是他大驚失色的說：壞了，我爸爸拿着我的小提琴去銀行了
",禁忌\秘密揭露,另有含義,橋界推論,另有含義,橋界推論,荒誕或是愚蠢的行徑\話語\情況
爸，我好想去劍橋” 然後他就把我送去了工地,⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節
"A：你姓什麼 B：我姓交 A：你跟你爸姓交喔！
",⽂字遊戲,另有含義,⽂字遊戲,另有含義,⽂字遊戲,另有含義
"「醫生，我一睡著便會打鼾。」「鼾聲響不響？」「很響。」「你太太會很厭煩嗎？」「我還沒結婚.」「你一個人睡？那不成問題了..」「誰說不成問題？！我因爲打鼾被炒了五次魷魚了！」
",誇張,另有含義,橋界推論,另有含義,橋界推論,另有含義
幾個女孩在一起談論將來嫁個什麼樣的老公。 其中一個態度十分堅決地說：“我非當兵的不嫁！”其他女孩不解地問：“爲什麼？” “因爲他在部隊不僅學會了洗衣做飯，更重要的是他學會了服從命令！,橋界推論,另有含義,橋界推論,另有含義,橋界推論,另有含義
老師：喬尼，學生守則一共幾條？ 喬尼：十條。 老師：如果你破壞了其中的一條…… 喬尼：那還有九條,無邏輯和矛盾,搞錯重點或是誤會情節,橋界推論,搞錯重點或是誤會情節,禁忌\秘密揭露,意想不到的答案
爲什麼要讀書？舉個例子，當你看到夕陽餘暉，你的腦海浮現的是“落霞與孤鶩齊飛，秋水共長天一色。”而不是“臥槽，這麼多鳥，真好看，真他媽太好看了！”,其他,其他,類比,其他,類比,意想不到的答案
"今天和女友逛街，路過一店，門面不大，但是門口掛着很多衣服，有一件挺漂亮的，雖說是掛在門口的是低端貨，但是女友挺喜歡的，便上去試了試，左右瞧了瞧，滿意的點了點頭。正要叫店員收錢，一妹子跑了出來，乾笑着說：不好意思，我們是乾洗店。 當時我和女友臉上的笑容瞬間凝固了，場面十分尷尬
",橋界推論,意外出糗,橋界推論,意想不到的答案,禁忌\秘密揭露,搞錯重點或是誤會情節
"在化學實驗課上，教授對學生說：做實驗既要有勇氣，又要觀察仔細！ 說着就把手伸進盛尿的燒杯中，然後伸進嘴裏舔一舔。同學門看了之後都紛紛把手伸進盛尿的燒杯中，再放在嘴裏舔一舔。許多同學都噁心的要命，有的都把早飯吐了出來。 教授看了笑着說：你們勇氣多餘，觀察不足啊！我伸進去的是食指，放進嘴裏的卻是中指！ 譁！倒了一片
",橋界推論,意想不到的答案,橋界推論,意想不到的答案,禁忌\秘密揭露,荒誕或是愚蠢的行徑\話語\情況
" 題目: 天涯海角。小朋友寫: 妹妹亂跑跑到天涯海角.
",⽂字遊戲,搞錯重點或是誤會情節,無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況,無邏輯和矛盾,荒誕或是愚蠢的行徑\話語\情況
"老婆出差，晚上打電話過來。 老婆：晚上自己解決啊！ 我：啊？你說什麼？ 老婆：不要想歪，我說是喫飯
",⽂字遊戲,另有含義,橋界推論,另有含義,禁忌\秘密揭露,搞錯重點或是誤會情節
"新郎：親愛的，讓我們商量一下婚後的生活吧！在我們家裏，你想當總理還是副總理？ 新娘：嗅，親愛的，我可不敢當。不過我想我還是能夠勝任一個較小的角色。 新郎：什麼角色？ 新娘：當財政部長
",橋界推論,另有含義,橋界推論,另有含義,橋界推論,另有含義
"兩個愛爾蘭人坐在一個酒吧間裏喝酒。 其中一人問另外一個：你是哪裏人？ 另一個回答：我生在科克郡。 不是開玩笑吧？我也生在科克郡！……咱們再來一杯吧！你生在　　科克郡什麼地方？ 另一個答道：我生在我媽的房子裏，門前有一條小河從薩克村南邊流過。 上帝保佑，第一個人叫道：你能相信嗎？我也生在我媽的房子裏，也離薩克村不遠。爲了咱們的親近，來，我們再乾一杯！……那麼你是在哪個學校上學呢？ 我上學是在鎮上的聖母受難學校。另一個答道。 這時第一個人已經興奮得不能自已，他大聲叫了起來：天啊！太不可思議了，我也是在那家學校上的學，這個世界真是太小了！老闆，再給我們每個人來上一杯！ 這時，酒吧裏的電話鈴響了，老闆接電話：克蘭酒吧……噢，今天晚上沒有什麼新鮮事，就是奧哈拉家的那對雙胞胎又喝多了
",橋界推論,意想不到的答案,橋界推論,荒誕或是愚蠢的行徑\話語\情況,禁忌\秘密揭露,荒誕或是愚蠢的行徑\話語\情況
小明到醫院看病，醫生宣佈他得了絕症，他很悲傷的問醫生還有多久可活。醫生回答：「10..........」小明：「10年？還是10個月！？！」醫生看著他說：「 9..........8..........7...........6..........」,誇張,意想不到的答案,橋界推論,荒誕或是愚蠢的行徑\話語\情況,橋界推論,另有含義
"妹妹：哥，如果有不良少年勒索我們，怎麼辦？ 小新：跑呀！ 妹妹：你跑得贏他們嗎？ 小新：我只要跑得贏你就行
",橋界推論,另有含義,橋界推論,另有含義,橋界推論,另有含義
"孫子爲識字不多的祖母念報紙新聞。今天的頭版：「第一屆世界經典棒賽．．．．．」祖母：「啥米！ㄅㄤˋㄙㄞˋ也可以登在頭版，現在的報紙真是亂七八糟。」
",⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,荒誕或是愚蠢的行徑\話語\情況,⽂字遊戲,搞錯重點或是誤會情節
"3歲的兒子小韜最愛湊熱鬧，哪兒人多就往哪走。媽媽實在拉不住，
氣憤地對他說：“你就是愛湊熱鬧！” 小韜馬上回答：“我纔不愛臭熱鬧呢，我愛香熱鬧！",⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,荒誕或是愚蠢的行徑\話語\情況,⽂字遊戲,搞錯重點或是誤會情節
"一應屆生應聘，老闆問他：“你想要什麼工作環境？” 他答：“月薪10萬元，包住，每年公費出國30天。” 
老闆：“我給你月薪20萬元，送你一棟房子，每年公費出國60天。” 他驚訝地說：“這麼好！該不會是跟我開玩笑吧？” 老闆：“是你先跟我開玩笑的。",諷刺,意想不到的答案,諷刺,意想不到的答案,禁忌\秘密揭露,意想不到的答案
"小胖做大掃除時偷喫紅豆冰，被老師發現了。
 老師不高興地對小胖說：“是不是太閒了？” 小胖回答：“老師，不閒，是甜的！",⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節,⽂字遊戲,搞錯重點或是誤會情節
